product_name,product_url,product_price
TEAM ELITE SO-DIMM DDR4 4GB 2400MHZ LAPTOP RAM,https://www.techlandbd.com/team-elite-so-ddim-4gb-laptop-ram,"2,099৳"
AMAZON FIRE 8 QUAD CORE 8 INCH HD DISPLAY 2GB RAM TABLET WITH ALEXA,https://www.techlandbd.com/amazon-fire-8-quad-core-8-inch-hd-display-2gb-ram-tablet-with-alexa,"11,990৳"
REDRAGON TARDIS 2 GB94 GAMING BACKPACK,https://www.techlandbd.com/redragon-tardis-gaming-backpack,"3,000৳"
ASUS TUF GAMING VP4700 BACKPACK,https://www.techlandbd.com/tuf-gaming-vp4700-backpack,"2,100৳"
LENOVO IDEAPAD SLIM 5 14 INCH FULL HD DISPLAY RYZEN 7 5700U 16GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/lenovo-ideapad-slim-5-ryzen-7-laptop,"91,000৳"
HP 240 G8 14 INCH FULL HD DISPLAY CORE I5 11TH GEN 8GB RAM 1TB HDD LAPTOP,https://www.techlandbd.com/hp-240-g8-core-i5-laptop,"69,000৳"
ASUS PROART STUDIO BOOK PRO W7600H3A 16 INCH 4K OLED DISPLAY CORE I7 11TH GEN 32GB RAM 1TB SSD CREATOR LAPTOP WITH RTX A3000 6GB GRAPHICS,https://www.techlandbd.com/asus-proart-studio-book-pro-w7600h3a-creator-laptop,"365,000৳"
HP 15S-DU3811TU 15.6 INCH FULL HD DISPLAY CORE I3 11TH GEN 8GB RAM 1TB HDD LAPTOP,https://www.techlandbd.com/hp-15s-fq5487tu-laptop,"60,500৳"
MSI KATANA GF66 12UC-013BD 15.6 INCH FULL HD 144HZ DISPLAY CORE I7 12TH GEN 8GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3050 4GB GRAPHICS,https://www.techlandbd.com/msi-katana-gf66-12uc-013bd-12th-gen-gaming-laptop,"151,000৳"
LENOVO IDEAPAD 5 PRO 16ACH6 16 INCH IPS DISPLAY RYZEN 5 5600H 16GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/lenovo-ideapad-5-pro-16ach6-ryzen-5-laptop,"103,500৳"
